Τμήμα	Έτος	Κωδικός ΚΕΝ	Ασφαλιστικός Φορέας	Πλήθος Νοσηλειών	Συνολικό Βασικό Κόστος ΚΕΝ	Πρόσθετη Χρέωση (Υπέρβαση ΜΔΝ)	Έσοδα Χειρουργείων	Έσοδα Εργαστηριακών	Συνολικά Έσοδα
ΟΡΘΟΠΕΔΙΚΗ	2023	Μ09Μ	ΕΦΚΑ	1	1472.00	81.78	0.00	0.00	1553.78
ΟΡΘΟΠΕΔΙΚΗ	2023	Μ61Μ	Ιδιωτική Ασφάλεια	1	221.00	0.00	0.00	0.00	221.00
ΟΡΘΟΠΕΔΙΚΗ	2023	Ν02Χ	Ιδιωτική Ασφάλεια	1	3836.00	2740.00	2528.23	0.00	9104.23
ΟΡΘΟΠΕΔΙΚΗ	2023	Ξ21Μ	Ανασφάλιστος	1	1136.00	378.66	2796.50	37.54	4348.70
ΟΡΘΟΠΕΔΙΚΗ	2023	Ο12Α	Ιδιωτική Ασφάλεια	1	583.00	0.00	1444.00	142.13	2169.13
ΟΡΘΟΠΕΔΙΚΗ	2023	Ο20Μ	Ιδιωτική Ασφάλεια	1	186.00	46.50	0.00	287.60	520.10
ΟΡΘΟΠΕΔΙΚΗ	2023	Π05Μβ	ΕΦΚΑ	1	2085.00	1489.30	2113.40	0.00	5687.70
ΟΡΘΟΠΕΔΙΚΗ	2023	Π27Μ	ΕΦΚΑ	1	2521.00	630.24	0.00	0.00	3151.24
ΟΡΘΟΠΕΔΙΚΗ	2023	Σ04Μ	ΕΦΚΑ	1	1694.00	0.00	5067.49	0.00	6761.49
ΟΡΘΟΠΕΔΙΚΗ	2023	Τ27Μγ	ΕΦΚΑ	1	918.00	550.80	3117.56	0.00	4586.36
ΟΡΘΟΠΕΔΙΚΗ	2023	Φ03Α	Ιδιωτική Ασφάλεια	1	5386.00	828.62	0.00	440.45	6655.07
ΟΡΘΟΠΕΔΙΚΗ	2023	Ω05Α	ΕΟΠΥΥ	1	1859.00	929.50	0.00	0.00	2788.50
ΟΡΘΟΠΕΔΙΚΗ	2022	Α29Μ	ΕΦΚΑ	1	872.00	0.00	0.00	0.00	872.00
ΟΡΘΟΠΕΔΙΚΗ	2022	Θ20Α	ΕΦΚΑ	1	297.00	297.00	3228.64	0.00	3822.64
ΟΡΘΟΠΕΔΙΚΗ	2022	Κ05Χ	ΕΦΚΑ	1	727.00	167.76	1648.25	0.00	2543.01
ΟΡΘΟΠΕΔΙΚΗ	2022	Κ38Μ	ΕΟΠΥΥ	1	1284.00	0.00	0.00	116.60	1400.60
ΟΡΘΟΠΕΔΙΚΗ	2022	Μ28Μ	Ιδιωτική Ασφάλεια	1	2639.00	0.00	0.00	0.00	2639.00
ΟΡΘΟΠΕΔΙΚΗ	2022	Ν30Μα	Ανασφάλιστος	1	3408.00	400.94	1707.92	0.00	5516.86
ΟΡΘΟΠΕΔΙΚΗ	2022	Ν32Χ	Ιδιωτική Ασφάλεια	1	1183.00	473.20	0.00	0.00	1656.20
ΟΡΘΟΠΕΔΙΚΗ	2022	Π01Μ	ΕΦΚΑ	1	6489.00	1802.50	0.00	214.42	8505.92
ΟΡΘΟΠΕΔΙΚΗ	2022	Τ06Μ	ΕΦΚΑ	1	15128.00	0.00	0.00	0.00	15128.00
ΟΡΘΟΠΕΔΙΚΗ	2022	Ω10Α	Ανασφάλιστος	1	787.00	787.00	1095.18	279.47	2948.65
ΟΦΘΑΛΜΟΛΟΓΙΑ	2023	Α24Χ	Ιδιωτική Ασφάλεια	1	949.00	0.00	0.00	0.00	949.00
ΟΦΘΑΛΜΟΛΟΓΙΑ	2023	Α36Α	ΕΦΚΑ	1	2412.00	172.29	0.00	0.00	2584.29
ΟΦΘΑΛΜΟΛΟΓΙΑ	2023	Γ12Χ	Ιδιωτική Ασφάλεια	1	1963.00	2453.75	1666.45	0.00	6083.20
ΟΦΘΑΛΜΟΛΟΓΙΑ	2023	Κ15Χ	Ιδιωτική Ασφάλεια	1	2013.00	2013.00	0.00	0.00	4026.00
ΟΦΘΑΛΜΟΛΟΓΙΑ	2023	Μ04Μ	Ιδιωτική Ασφάλεια	1	7042.00	0.00	0.00	0.00	7042.00
ΟΦΘΑΛΜΟΛΟΓΙΑ	2023	Μ09Χ	Ανασφάλιστος	1	9783.00	5590.28	3192.97	220.27	18786.52
ΟΦΘΑΛΜΟΛΟΓΙΑ	2023	Μ61Μ	ΕΦΚΑ	1	221.00	85.00	0.00	132.04	438.04
ΟΦΘΑΛΜΟΛΟΓΙΑ	2023	Ν28Μ	ΕΟΠΥΥ	1	1907.00	211.89	0.00	0.00	2118.89
ΟΦΘΑΛΜΟΛΟΓΙΑ	2023	Ν32Μ	Ιδιωτική Ασφάλεια	1	3175.00	907.16	0.00	364.39	4446.55
ΟΦΘΑΛΜΟΛΟΓΙΑ	2023	Ξ22Α	Ιδιωτική Ασφάλεια	1	514.00	685.32	0.00	132.39	1331.71
ΟΦΘΑΛΜΟΛΟΓΙΑ	2023	Ο20Χ	ΕΦΚΑ	1	1035.00	1293.75	0.00	224.05	2552.80
ΟΦΘΑΛΜΟΛΟΓΙΑ	2023	Π50Χ	ΕΦΚΑ	1	374.00	0.00	4927.21	0.00	5301.21
ΟΦΘΑΛΜΟΛΟΓΙΑ	2023	Τ27Μα	Ιδιωτική Ασφάλεια	1	3076.00	1025.32	0.00	0.00	4101.32
ΟΦΘΑΛΜΟΛΟΓΙΑ	2023	Υ07Χ	Ιδιωτική Ασφάλεια	1	680.00	3400.00	0.00	0.00	4080.00
ΟΦΘΑΛΜΟΛΟΓΙΑ	2023	Υ20Χ	Ιδιωτική Ασφάλεια	1	584.00	0.00	0.00	0.00	584.00
ΟΦΘΑΛΜΟΛΟΓΙΑ	2023	Φ64Μ	ΕΟΠΥΥ	1	1159.00	463.60	0.00	91.61	1714.21
ΟΦΘΑΛΜΟΛΟΓΙΑ	2022	Β03Α	ΕΟΠΥΥ	1	771.00	1542.00	5197.15	239.87	7750.02
ΟΦΘΑΛΜΟΛΟΓΙΑ	2022	Γ04Μ	Ιδιωτική Ασφάλεια	1	2062.00	1237.20	2962.52	255.41	6517.13
ΟΦΘΑΛΜΟΛΟΓΙΑ	2022	Δ12Χα	Ανασφάλιστος	1	3097.00	952.92	0.00	40.85	4090.77
ΟΦΘΑΛΜΟΛΟΓΙΑ	2022	Δ28Α	ΕΦΚΑ	1	382.00	1910.00	0.00	0.00	2292.00
ΟΦΘΑΛΜΟΛΟΓΙΑ	2022	Θ24Χ	Ιδιωτική Ασφάλεια	1	669.00	1003.50	0.00	0.00	1672.50
ΟΦΘΑΛΜΟΛΟΓΙΑ	2022	Κ05Χ	Ανασφάλιστος	1	727.00	0.00	0.00	0.00	727.00
ΟΦΘΑΛΜΟΛΟΓΙΑ	2022	Μ01Χ	ΕΟΠΥΥ	1	9606.00	1372.29	3357.15	0.00	14335.44
ΟΦΘΑΛΜΟΛΟΓΙΑ	2022	Μ17Χ	Ιδιωτική Ασφάλεια	1	1764.00	0.00	0.00	0.00	1764.00
ΟΦΘΑΛΜΟΛΟΓΙΑ	2022	Ν24Χ	ΕΦΚΑ	1	1159.00	772.68	0.00	0.00	1931.68
ΟΦΘΑΛΜΟΛΟΓΙΑ	2022	Ν39Μ	ΕΦΚΑ	1	1323.00	0.00	0.00	0.00	1323.00
ΟΦΘΑΛΜΟΛΟΓΙΑ	2022	Π46Α	ΕΦΚΑ	1	327.00	327.00	1685.08	0.00	2339.08
ΟΦΘΑΛΜΟΛΟΓΙΑ	2022	Υ20Χ	ΕΟΠΥΥ	1	584.00	584.01	0.00	0.00	1168.01
ΟΦΘΑΛΜΟΛΟΓΙΑ	2022	Υ22Α	ΕΦΚΑ	1	482.00	2410.00	0.00	0.00	2892.00
ΟΦΘΑΛΜΟΛΟΓΙΑ	2022	Υ23Μ	Ιδιωτική Ασφάλεια	1	1564.00	586.50	0.00	0.00	2150.50
ΟΦΘΑΛΜΟΛΟΓΙΑ	2022	Χ20Α	Ανασφάλιστος	1	148.00	0.00	0.00	0.00	148.00
ΠΑΘΟΛΟΓΙΑ	2026	Λ26Α	ΕΦΚΑ	1	257.00	0.00	0.00	0.00	257.00
ΠΑΘΟΛΟΓΙΑ	2026	Ο14Α	Ιδιωτική Ασφάλεια	1	406.00	203.00	0.00	0.00	609.00
ΠΑΘΟΛΟΓΙΑ	2026	Π05Μβ	ΕΦΚΑ	1	2085.00	595.72	0.00	0.00	2680.72
ΠΑΘΟΛΟΓΙΑ	2025	Γ22Α	ΕΦΚΑ	1	257.00	0.00	0.00	0.00	257.00
ΠΑΘΟΛΟΓΙΑ	2025	Ε06Μ	ΕΦΚΑ	1	39863.00	848.15	0.00	0.00	40711.15
ΠΑΘΟΛΟΓΙΑ	2025	Σ22Χ	ΕΦΚΑ	1	638.00	319.00	0.00	0.00	957.00
ΠΑΘΟΛΟΓΙΑ	2025	Φ11Χ	Ιδιωτική Ασφάλεια	1	1883.00	269.00	0.00	0.00	2152.00
ΠΑΘΟΛΟΓΙΑ	2024	Α20Χ	Ιδιωτική Ασφάλεια	1	2638.00	527.60	0.00	0.00	3165.60
ΠΑΘΟΛΟΓΙΑ	2024	Η07Μ	ΕΦΚΑ	1	4299.00	0.00	0.00	0.00	4299.00
ΠΑΘΟΛΟΓΙΑ	2024	Κ17Μ	ΕΦΚΑ	1	2892.00	1156.80	0.00	0.00	4048.80
ΠΑΘΟΛΟΓΙΑ	2024	Ο05Α	Ιδιωτική Ασφάλεια	1	896.00	896.00	0.00	0.00	1792.00
ΠΑΘΟΛΟΓΙΑ	2023	Α26Μβ	Ανασφάλιστος	1	1175.00	1175.00	0.00	0.00	2350.00
ΠΑΘΟΛΟΓΙΑ	2023	Β20Μ	ΕΦΚΑ	1	1323.00	0.00	0.00	0.00	1323.00
ΠΑΘΟΛΟΓΙΑ	2023	Δ01Χ	ΕΦΚΑ	1	6452.00	716.89	0.00	0.00	7168.89
ΠΑΘΟΛΟΓΙΑ	2023	Ε09Β	ΕΦΚΑ	1	9669.00	3625.89	0.00	306.29	13601.18
ΠΑΘΟΛΟΓΙΑ	2023	Η05Χ	ΕΦΚΑ	1	1393.00	0.00	2655.09	0.00	4048.09
ΠΑΘΟΛΟΓΙΑ	2023	Η23Χ	ΕΟΠΥΥ	1	786.00	1048.00	0.00	0.00	1834.00
ΠΑΘΟΛΟΓΙΑ	2023	Η41Χ	Ανασφάλιστος	1	872.00	436.00	0.00	0.00	1308.00
ΠΑΘΟΛΟΓΙΑ	2023	Η42Χ	ΕΟΠΥΥ	1	708.00	472.00	0.00	0.00	1180.00
ΠΑΘΟΛΟΓΙΑ	2023	Η44Μ	ΕΦΚΑ	1	1198.00	0.00	0.00	120.70	1318.70
ΠΑΘΟΛΟΓΙΑ	2023	Θ09Χα	ΕΟΠΥΥ	1	208.00	0.00	0.00	0.00	208.00
ΠΑΘΟΛΟΓΙΑ	2023	Θ20Α	ΕΦΚΑ	1	297.00	0.00	0.00	0.00	297.00
ΠΑΘΟΛΟΓΙΑ	2023	Θ20ΧΧ	Ιδιωτική Ασφάλεια	1	731.00	0.00	2763.48	0.00	3494.48
ΠΑΘΟΛΟΓΙΑ	2023	Θ21Α	Ιδιωτική Ασφάλεια	1	2599.00	0.00	3163.13	0.00	5762.13
ΠΑΘΟΛΟΓΙΑ	2023	Θ24Χ	ΕΦΚΑ	1	669.00	0.00	0.00	110.18	779.18
ΠΑΘΟΛΟΓΙΑ	2023	Ι20Α	ΕΦΚΑ	1	366.00	366.00	0.00	0.00	732.00
ΠΑΘΟΛΟΓΙΑ	2023	Κ12Μ	ΕΦΚΑ	1	5465.00	993.64	0.00	0.00	6458.64
ΠΑΘΟΛΟΓΙΑ	2023	Κ15Χ	ΕΟΠΥΥ	1	2013.00	4026.00	0.00	195.63	6234.63
ΠΑΘΟΛΟΓΙΑ	2023	Κ21Χ	Ιδιωτική Ασφάλεια	1	1494.00	1120.50	0.00	0.00	2614.50
ΠΑΘΟΛΟΓΙΑ	2023	Κ42Μ	ΕΟΠΥΥ	1	2054.00	0.00	0.00	0.00	2054.00
ΠΑΘΟΛΟΓΙΑ	2023	Κ47Α	Ιδιωτική Ασφάλεια	1	2423.00	807.66	0.00	0.00	3230.66
ΠΑΘΟΛΟΓΙΑ	2023	Λ03Χ	ΕΦΚΑ	1	886.00	443.00	0.00	0.00	1329.00
ΠΑΘΟΛΟΓΙΑ	2023	Μ08Μ	Ιδιωτική Ασφάλεια	1	4449.00	0.00	2850.03	0.00	7299.03
ΠΑΘΟΛΟΓΙΑ	2023	Μ15Α	Ανασφάλιστος	1	3761.00	1253.66	0.00	0.00	5014.66
ΠΑΘΟΛΟΓΙΑ	2023	Μ18Α	ΕΦΚΑ	1	743.00	1486.00	1134.46	0.00	3363.46
ΠΑΘΟΛΟΓΙΑ	2023	Μ19Μ	Ιδιωτική Ασφάλεια	1	2648.00	0.00	0.00	0.00	2648.00
ΠΑΘΟΛΟΓΙΑ	2023	Μ69Μ	ΕΦΚΑ	1	1533.00	510.99	0.00	0.00	2043.99
ΠΑΘΟΛΟΓΙΑ	2023	Μ72Μ	ΕΦΚΑ	1	1681.00	186.78	0.00	0.00	1867.78
ΠΑΘΟΛΟΓΙΑ	2023	Μ75Μ	ΕΟΠΥΥ	1	1455.00	0.00	0.00	0.00	1455.00
ΠΑΘΟΛΟΓΙΑ	2023	Μ78Χ	ΕΟΠΥΥ	1	475.00	237.50	0.00	0.00	712.50
ΠΑΘΟΛΟΓΙΑ	2023	Ν02Μα	Ιδιωτική Ασφάλεια	1	773.00	214.70	0.00	0.00	987.70
ΠΑΘΟΛΟΓΙΑ	2023	Ν21Μ	Ανασφάλιστος	1	496.00	124.00	0.00	0.00	620.00
ΠΑΘΟΛΟΓΙΑ	2023	Ν23Α	ΕΦΚΑ	1	2109.00	648.92	0.00	313.02	3070.94
ΠΑΘΟΛΟΓΙΑ	2023	Ν26Χ	Ιδιωτική Ασφάλεια	1	872.00	872.00	0.00	358.68	2102.68
ΠΑΘΟΛΟΓΙΑ	2023	Π05Μβ	ΕΦΚΑ	1	2085.00	297.86	0.00	0.00	2382.86
ΠΑΘΟΛΟΓΙΑ	2023	Π07Μ	ΕΟΠΥΥ	1	155.00	0.00	0.00	134.69	289.69
ΠΑΘΟΛΟΓΙΑ	2023	Π27Χ	Ιδιωτική Ασφάλεια	1	988.00	0.00	0.00	0.00	988.00
ΠΑΘΟΛΟΓΙΑ	2023	Τ02Α	ΕΦΚΑ	1	20279.00	4408.50	0.00	0.00	24687.50
ΠΑΘΟΛΟΓΙΑ	2023	Τ24Α	ΕΦΚΑ	1	5818.00	1118.85	907.24	0.00	7844.09
ΠΑΘΟΛΟΓΙΑ	2023	Τ26Μα	ΕΦΚΑ	1	3719.00	0.00	2353.88	329.70	6402.58
ΠΑΘΟΛΟΓΙΑ	2023	Τ26Μγ	ΕΦΚΑ	1	1644.00	149.45	0.00	0.00	1793.45
ΠΑΘΟΛΟΓΙΑ	2023	Υ03Χ	Ανασφάλιστος	1	2992.00	0.00	0.00	0.00	2992.00
ΠΑΘΟΛΟΓΙΑ	2023	Υ06Μ	ΕΟΠΥΥ	1	2381.00	1322.80	0.00	232.82	3936.62
ΠΑΘΟΛΟΓΙΑ	2023	Υ07Χ	Ανασφάλιστος	1	680.00	2040.00	0.00	0.00	2720.00
ΠΑΘΟΛΟΓΙΑ	2023	Φ01Α	ΕΦΚΑ	1	12204.00	2905.70	0.00	249.18	15358.88
ΠΑΘΟΛΟΓΙΑ	2023	Φ60Χ	Ανασφάλιστος	1	288.00	576.00	0.00	0.00	864.00
ΠΑΘΟΛΟΓΙΑ	2023	Ω15Α	Ανασφάλιστος	1	2145.00	2145.00	0.00	0.00	4290.00
ΠΑΘΟΛΟΓΙΑ	2023	Ω32Α	ΕΦΚΑ	1	358.00	537.00	0.00	0.00	895.00
ΠΑΘΟΛΟΓΙΑ	2022	S01Χ	ΕΟΠΥΥ	1	1334.00	4002.00	0.00	271.54	5607.54
ΠΑΘΟΛΟΓΙΑ	2022	Α29Μ	Ιδιωτική Ασφάλεια	1	872.00	654.00	0.00	0.00	1526.00
ΠΑΘΟΛΟΓΙΑ	2022	Α30Χ	ΕΦΚΑ	1	607.00	0.00	0.00	0.00	607.00
ΠΑΘΟΛΟΓΙΑ	2022	Γ01Α	ΕΦΚΑ	1	2964.00	0.00	0.00	0.00	2964.00
ΠΑΘΟΛΟΓΙΑ	2022	Γ06Χ	Ιδιωτική Ασφάλεια	1	1264.00	1896.00	0.00	337.23	3497.23
ΠΑΘΟΛΟΓΙΑ	2022	Γ07Α	ΕΦΚΑ	1	742.00	1484.00	1134.59	0.00	3360.59
ΠΑΘΟΛΟΓΙΑ	2022	Γ12Μ	ΕΟΠΥΥ	1	3576.00	1191.99	0.00	587.22	5355.21
ΠΑΘΟΛΟΓΙΑ	2022	Δ28Χ	ΕΦΚΑ	1	965.00	0.00	0.00	0.00	965.00
ΠΑΘΟΛΟΓΙΑ	2022	Ε08Χ	ΕΦΚΑ	1	3683.00	736.60	873.45	0.00	5293.05
ΠΑΘΟΛΟΓΙΑ	2022	Ζ03Α	ΕΦΚΑ	1	2312.00	462.40	0.00	0.00	2774.40
ΠΑΘΟΛΟΓΙΑ	2022	Θ08Α	ΕΟΠΥΥ	1	952.00	3808.00	0.00	0.00	4760.00
ΠΑΘΟΛΟΓΙΑ	2022	Θ20Μ	Ιδιωτική Ασφάλεια	1	4296.00	0.00	0.00	0.00	4296.00
ΠΑΘΟΛΟΓΙΑ	2022	Θ24Χ	Ιδιωτική Ασφάλεια	1	669.00	0.00	0.00	0.00	669.00
ΠΑΘΟΛΟΓΙΑ	2022	Ι23Α	Ιδιωτική Ασφάλεια	1	576.00	0.00	0.00	0.00	576.00
ΠΑΘΟΛΟΓΙΑ	2022	Κ07Μβ	ΕΟΠΥΥ	1	7279.00	2729.64	3460.47	348.17	13817.28
ΠΑΘΟΛΟΓΙΑ	2022	Κ11Χ	ΕΦΚΑ	1	3223.00	1151.05	0.00	278.13	4652.18
ΠΑΘΟΛΟΓΙΑ	2022	Κ14Μα	ΕΦΚΑ	1	3569.00	973.35	0.00	0.00	4542.35
ΠΑΘΟΛΟΓΙΑ	2022	Κ21Μ	Ιδιωτική Ασφάλεια	1	368.00	98.12	0.00	0.00	466.12
ΠΑΘΟΛΟΓΙΑ	2022	Κ39Μ	ΕΦΚΑ	1	1268.00	0.00	0.00	0.00	1268.00
ΠΑΘΟΛΟΓΙΑ	2022	Κ41Χ	ΕΟΠΥΥ	1	2397.00	399.50	0.00	0.00	2796.50
ΠΑΘΟΛΟΓΙΑ	2022	Κ45Χ	Ιδιωτική Ασφάλεια	1	521.00	1302.50	0.00	376.96	2200.46
ΠΑΘΟΛΟΓΙΑ	2022	Κ46Χ	ΕΦΚΑ	1	444.00	444.00	0.00	0.00	888.00
ΠΑΘΟΛΟΓΙΑ	2022	Μ21Α	ΕΦΚΑ	1	1052.00	1052.00	0.00	0.00	2104.00
ΠΑΘΟΛΟΓΙΑ	2022	Μ25Χ	ΕΦΚΑ	1	126.00	210.00	0.00	0.00	336.00
ΠΑΘΟΛΟΓΙΑ	2022	Μ64Χ	ΕΦΚΑ	1	1175.00	587.52	0.00	262.12	2024.64
ΠΑΘΟΛΟΓΙΑ	2022	Μ69Χ	Ιδιωτική Ασφάλεια	1	428.00	428.00	0.00	0.00	856.00
ΠΑΘΟΛΟΓΙΑ	2022	Μ72Χ	ΕΦΚΑ	1	490.00	816.65	3797.87	0.00	5104.52
ΠΑΘΟΛΟΓΙΑ	2022	Μ73Μ	Ανασφάλιστος	1	2249.00	124.94	0.00	0.00	2373.94
ΠΑΘΟΛΟΓΙΑ	2022	Μ73Χ	ΕΟΠΥΥ	1	584.00	146.00	0.00	0.00	730.00
ΠΑΘΟΛΟΓΙΑ	2022	Ν01Μ	Ιδιωτική Ασφάλεια	1	2528.00	0.00	0.00	0.00	2528.00
ΠΑΘΟΛΟΓΙΑ	2022	Ν02Χ	Ανασφάλιστος	1	3836.00	548.00	2073.78	0.00	6457.78
ΠΑΘΟΛΟΓΙΑ	2022	Ν20Μ	Ανασφάλιστος	1	6919.00	0.00	0.00	0.00	6919.00
ΠΑΘΟΛΟΓΙΑ	2022	Ν21Χ	ΕΦΚΑ	1	1885.00	377.00	0.00	0.00	2262.00
ΠΑΘΟΛΟΓΙΑ	2022	Ν28Μ	ΕΦΚΑ	1	1907.00	211.89	0.00	0.00	2118.89
ΠΑΘΟΛΟΓΙΑ	2022	Ν34Μ	ΕΟΠΥΥ	1	1012.00	809.60	0.00	0.00	1821.60
ΠΑΘΟΛΟΓΙΑ	2022	Ξ20Χα	ΕΦΚΑ	1	786.00	524.00	0.00	277.91	1587.91
ΠΑΘΟΛΟΓΙΑ	2022	Ξ21Μ	ΕΦΚΑ	1	1136.00	0.00	0.00	0.00	1136.00
ΠΑΘΟΛΟΓΙΑ	2022	Π06Α	Ιδιωτική Ασφάλεια	1	1037.00	1728.35	0.00	0.00	2765.35
ΠΑΘΟΛΟΓΙΑ	2022	Π07Μ	Ιδιωτική Ασφάλεια	1	155.00	62.00	1361.92	0.00	1578.92
ΠΑΘΟΛΟΓΙΑ	2022	Π10Χ	Ιδιωτική Ασφάλεια	1	868.00	868.00	0.00	0.00	1736.00
ΠΑΘΟΛΟΓΙΑ	2022	Π42Α	Ιδιωτική Ασφάλεια	1	1097.00	658.20	0.00	248.13	2003.33
ΠΑΘΟΛΟΓΙΑ	2022	Σ01Μ	ΕΦΚΑ	1	8558.00	1488.36	0.00	0.00	10046.36
ΠΑΘΟΛΟΓΙΑ	2022	Σ21Χ	ΕΦΚΑ	1	1886.00	1508.80	2126.85	0.00	5521.65
ΠΑΘΟΛΟΓΙΑ	2022	Τ06Χ	ΕΦΚΑ	1	5062.00	0.00	2489.24	0.00	7551.24
ΠΑΘΟΛΟΓΙΑ	2022	Τ26Μα	ΕΦΚΑ	1	3719.00	0.00	1975.90	0.00	5694.90
ΠΑΘΟΛΟΓΙΑ	2022	Τ27Μα	Ιδιωτική Ασφάλεια	1	3076.00	256.33	0.00	158.28	3490.61
ΠΑΘΟΛΟΓΙΑ	2022	Υ04Χα	ΕΦΚΑ	1	2361.00	1686.45	0.00	0.00	4047.45
ΠΑΘΟΛΟΓΙΑ	2022	Υ05Χ	Ανασφάλιστος	1	1.00	1.32	0.00	0.00	2.32
ΠΑΘΟΛΟΓΙΑ	2022	Υ08Μ	Ιδιωτική Ασφάλεια	1	1271.00	1271.00	0.00	0.00	2542.00
ΠΑΘΟΛΟΓΙΑ	2022	Υ20Α	ΕΦΚΑ	1	767.00	0.00	0.00	181.44	948.44
ΠΑΘΟΛΟΓΙΑ	2022	Φ04Χ	ΕΦΚΑ	1	5558.00	2526.35	0.00	444.32	8528.67
ΠΑΘΟΛΟΓΙΑ	2022	Φ22Μ	ΕΟΠΥΥ	1	2357.00	942.80	0.00	0.00	3299.80
ΠΑΘΟΛΟΓΙΑ	2022	Φ60Μ	ΕΦΚΑ	1	1144.00	0.00	3836.22	26.93	5007.15
ΠΑΘΟΛΟΓΙΑ	2022	Φ64Χ	Ανασφάλιστος	1	303.00	0.00	0.00	51.34	354.34
ΠΑΘΟΛΟΓΙΑ	2022	Χ47Α	ΕΦΚΑ	1	1214.00	0.00	0.00	207.78	1421.78
ΠΑΘΟΛΟΓΙΑ	2022	Ω06Α	Ιδιωτική Ασφάλεια	1	1125.00	1125.00	2339.37	0.00	4589.37
ΠΑΘΟΛΟΓΙΑ	2022	Ω14Α	Ιδιωτική Ασφάλεια	1	740.00	740.00	0.00	232.85	1712.85
ΠΑΘΟΛΟΓΙΑ	2022	Ω20Α	ΕΟΠΥΥ	1	557.00	2228.00	2874.02	0.00	5659.02
ΠΑΙΔΙΑΤΡΙΚΗ	2023	Β01Μ	ΕΦΚΑ	1	3553.00	1776.52	0.00	0.00	5329.52
ΠΑΙΔΙΑΤΡΙΚΗ	2023	Γ12Χ	Ιδιωτική Ασφάλεια	1	1963.00	0.00	1673.52	376.70	4013.22
ΠΑΙΔΙΑΤΡΙΚΗ	2023	Ε06Χγ	ΕΦΚΑ	1	8261.00	0.00	0.00	0.00	8261.00
ΠΑΙΔΙΑΤΡΙΚΗ	2023	Μ02Μ	Ιδιωτική Ασφάλεια	1	911.00	0.00	0.00	287.92	1198.92
ΠΑΙΔΙΑΤΡΙΚΗ	2023	Μ63Χ	Ιδιωτική Ασφάλεια	1	444.00	222.00	0.00	0.00	666.00
ΠΑΙΔΙΑΤΡΙΚΗ	2023	Μ68Χ	ΕΦΚΑ	1	731.00	0.00	0.00	368.23	1099.23
ΠΑΙΔΙΑΤΡΙΚΗ	2023	Ν39Χ	Ιδιωτική Ασφάλεια	1	537.00	306.84	2952.13	306.82	4102.79
ΠΑΙΔΙΑΤΡΙΚΗ	2023	Ξ20Μ	ΕΦΚΑ	1	1945.00	0.00	0.00	377.86	2322.86
ΠΑΙΔΙΑΤΡΙΚΗ	2023	Π28Μ	ΕΟΠΥΥ	1	2062.00	412.40	0.00	0.00	2474.40
ΠΑΙΔΙΑΤΡΙΚΗ	2022	G01Χ	Ανασφάλιστος	1	2182.00	0.00	1070.85	0.00	3252.85
ΠΑΙΔΙΑΤΡΙΚΗ	2022	Α35Μα	Ιδιωτική Ασφάλεια	1	1556.00	0.00	3900.43	0.00	5456.43
ΠΑΙΔΙΑΤΡΙΚΗ	2022	Α35Χ	Ιδιωτική Ασφάλεια	1	475.00	712.50	2205.24	367.56	3760.30
ΠΑΙΔΙΑΤΡΙΚΗ	2022	Γ06Μ	Ιδιωτική Ασφάλεια	1	1649.00	1236.75	0.00	0.00	2885.75
ΠΑΙΔΙΑΤΡΙΚΗ	2022	Λ02Μ	ΕΦΚΑ	1	1743.00	1307.25	1071.18	0.00	4121.43
ΠΑΙΔΙΑΤΡΙΚΗ	2022	Μ72Χ	ΕΟΠΥΥ	1	490.00	326.66	0.00	0.00	816.66
ΠΑΙΔΙΑΤΡΙΚΗ	2022	Ν68Χ	Ανασφάλιστος	1	565.00	847.50	0.00	269.15	1681.65
ΠΑΙΔΙΑΤΡΙΚΗ	2022	Ν82Μβ	ΕΦΚΑ	1	2475.00	900.00	0.00	0.00	3375.00
ΠΑΙΔΙΑΤΡΙΚΗ	2022	Ξ02Μ	Ιδιωτική Ασφάλεια	1	4655.00	0.00	0.00	61.31	4716.31
ΠΑΙΔΙΑΤΡΙΚΗ	2022	Ο14Α	Ιδιωτική Ασφάλεια	1	406.00	609.00	0.00	0.00	1015.00
ΠΑΙΔΙΑΤΡΙΚΗ	2022	Ο20Χ	ΕΦΚΑ	1	1035.00	258.75	0.00	0.00	1293.75
ΠΑΙΔΙΑΤΡΙΚΗ	2022	Π28Α	ΕΦΚΑ	1	290.00	1160.00	0.00	0.00	1450.00
ΠΑΙΔΙΑΤΡΙΚΗ	2022	Υ27Χ	ΕΦΚΑ	1	358.00	537.00	1330.82	0.00	2225.82
ΠΑΙΔΙΑΤΡΙΚΗ	2022	Φ04Χ	Ιδιωτική Ασφάλεια	1	5558.00	0.00	0.00	0.00	5558.00
ΠΝΕΥΜΟΝΟΛΟΓΙΑ	2023	Δ10Α	ΕΦΚΑ	1	672.00	2688.00	0.00	203.34	3563.34
ΠΝΕΥΜΟΝΟΛΟΓΙΑ	2023	Ε06Μ	ΕΦΚΑ	1	39863.00	2544.45	0.00	37.68	42445.13
ΠΝΕΥΜΟΝΟΛΟΓΙΑ	2023	Ε09Γ	Ιδιωτική Ασφάλεια	1	10706.00	3568.65	0.00	0.00	14274.65
ΠΝΕΥΜΟΝΟΛΟΓΙΑ	2023	Η05Χ	ΕΟΠΥΥ	1	1393.00	1741.25	0.00	0.00	3134.25
